Date,Open,High,Low,Close,Volume,Stock,LABEL
2017-08-10,361.6,366.65,354.66,355.4,7069015,TSLA,0
2011-03-21,23.01,23.05,22.54,22.73,411650,TSLA,-1
2017-06-13,367.62,376.0,366.61,375.95,11778111,TSLA,1
2012-01-04,28.21,28.67,27.5,27.71,616466,TSLA,-1
2016-06-21,220.68,222.569,218.81,219.61,2226694,TSLA,1
2011-09-28,26.0,26.5,24.51,24.59,723206,TSLA,-1
2010-08-30,19.7,20.19,19.61,19.87,732731,TSLA,-1
2011-10-05,24.03,25.83,23.35,25.37,1229414,TSLA,1
2016-09-13,197.06,198.49,193.45,196.05,2947851,TSLA,1
2014-10-10,244.64,245.89,235.2,236.91,12890700,TSLA,1
2013-02-14,38.64,38.75,38.21,38.3,990640,TSLA,-1
2013-09-05,170.1,171.5,168.25,169.93,6691470,TSLA,1
2014-01-21,171.24,177.29,170.81,176.68,9739925,TSLA,1
2017-04-06,296.88,301.94,294.1,298.7,5450176,TSLA,1
2016-01-06,220.0,220.05,215.98,219.04,3492811,TSLA,-1
2014-12-24,219.77,222.5,219.25,222.26,1333518,TSLA,1
2017-08-09,361.0,370.0,358.95,363.53,6882093,TSLA,1
2015-10-27,214.84,217.1,207.51,210.35,3519400,TSLA,-1
2012-05-01,33.13,34.21,33.13,33.78,683198,TSLA,-1
2015-06-04,247.5,249.3,245.71,245.92,2453600,TSLA,1
2013-08-27,162.3,168.8,160.95,167.01,17549417,TSLA,-1
2016-11-29,195.56,196.73,189.5,189.57,4327215,TSLA,1
2014-09-15,274.37,274.4,249.13,253.86,16462666,TSLA,1
2013-08-15,136.43,143.6,135.0,139.67,10185530,TSLA,-1
2013-07-24,124.47,124.5,119.56,121.7,6869886,TSLA,-1
2012-05-08,32.5,32.73,29.37,30.19,3133152,TSLA,-1
2011-09-06,22.5,23.2,22.29,22.94,809760,TSLA,-1
2010-11-15,30.22,32.94,30.22,30.8,2624233,TSLA,1
2014-01-15,168.45,172.23,162.1,164.13,20472959,TSLA,1
2017-03-28,277.02,280.68,275.0,277.45,7781113,TSLA,1
2013-12-20,141.58,144.35,141.58,143.24,7416288,TSLA,-1
2012-04-19,32.75,33.43,32.5,33.16,774878,TSLA,-1
2016-04-01,244.825,247.9,233.25,237.59,15013575,TSLA,1
2011-03-15,22.16,22.96,21.8,22.95,1318869,TSLA,-1
2011-01-31,24.05,24.12,23.5,24.1,831151,TSLA,1
2017-07-28,336.89,339.6,332.51,335.07,4873053,TSLA,1
2017-07-19,328.23,331.65,323.219,325.26,6348887,TSLA,-1
2012-07-18,31.42,33.67,31.06,32.15,2882084,TSLA,-1
2017-02-06,251.0,257.82,250.63,257.77,3521545,TSLA,1
2011-01-07,28.0,28.58,27.9,28.24,1513883,TSLA,-1
2010-11-04,22.6,25.33,22.15,24.9,1874801,TSLA,-1
2012-09-19,30.99,31.74,30.94,31.05,1048457,TSLA,1
2014-09-16,255.15,262.46,252.42,260.74,8301533,TSLA,1
2013-12-19,146.9,147.0,139.1,140.72,12747406,TSLA,-1
2016-10-11,201.85,202.2,198.31,200.1,2237785,TSLA,1
2017-01-30,252.53,255.29,247.1,250.62,3662381,TSLA,1
2013-12-12,139.8,148.24,138.53,147.47,10760862,TSLA,-1
2015-02-02,203.97,211.95,203.3,210.94,4148615,TSLA,1
2017-04-10,309.15,313.73,308.71,312.39,7582587,TSLA,1
2016-07-22,221.99,224.5,218.88,222.27,2437326,TSLA,-1
2014-11-07,242.19,242.84,237.2,240.2,5159550,TSLA,1
2017-04-25,308.0,313.98,305.86,313.79,6734967,TSLA,1
2017-07-06,317.26,320.79,306.3,308.83,19275954,TSLA,-1
2013-09-24,179.14,184.96,177.65,182.33,6276525,TSLA,-1
2016-05-18,209.15,215.31,207.75,211.17,4454848,TSLA,1
2016-08-01,235.5,236.63,229.38,230.01,3790147,TSLA,1
2011-07-15,27.79,27.83,27.4,27.58,708954,TSLA,-1
2012-10-04,30.0,30.1,28.65,29.4,1541207,TSLA,1
2015-05-22,245.45,248.6,245.01,247.73,2223000,TSLA,1
2016-01-08,217.86,220.44,210.77,211.0,3504461,TSLA,-1
2013-10-21,183.28,183.39,171.0,172.6,11524670,TSLA,-1
2012-02-01,29.13,29.7,29.0,29.58,523169,TSLA,-1
2014-04-24,210.81,212.8,203.2,207.86,5502813,TSLA,1
2012-06-07,29.81,29.87,28.85,28.93,492015,TSLA,-1
2013-08-05,140.01,144.89,139.65,144.68,10189514,TSLA,1
2015-08-12,235.0,239.77,232.74,238.17,3739100,TSLA,1
2017-05-30,326.0,336.28,325.76,335.1,7772629,TSLA,1
2017-10-19,355.56,357.147,348.2,351.81,5056722,TSLA,1
2015-09-18,257.96,263.82,257.5,260.62,3763000,TSLA,-1
2011-08-29,24.22,24.85,24.02,24.71,803302,TSLA,-1
2017-07-10,312.9,317.94,303.13,316.05,13780268,TSLA,1
2011-03-18,23.19,23.19,22.51,22.96,687823,TSLA,-1
2017-09-01,356.12,357.59,353.69,355.4,3048895,TSLA,1
2015-06-18,262.0,263.46,260.02,261.89,2782700,TSLA,-1
2012-08-29,28.49,28.64,28.02,28.41,838883,TSLA,-1
2014-10-30,238.14,240.5,235.06,238.66,3228321,TSLA,1
2015-01-02,222.87,223.25,213.26,219.31,4764103,TSLA,-1
2016-05-20,216.99,220.55,216.35,220.28,8635216,TSLA,1
2011-07-25,29.01,29.25,28.44,28.49,673391,TSLA,-1
2014-08-06,238.9,251.42,238.58,248.93,9238110,TSLA,1
2011-02-11,23.25,23.75,22.94,23.25,616591,TSLA,-1
2015-02-05,219.88,225.48,219.64,220.99,3522499,TSLA,1
2014-08-12,258.08,260.3,254.58,259.96,6384343,TSLA,1
2016-02-11,152.0,163.26,147.0,150.47,13417556,TSLA,-1
2017-03-14,246.11,258.12,246.02,258.0,7598446,TSLA,1
2013-11-04,165.0,175.39,164.22,175.2,13088296,TSLA,-1
2014-06-11,201.5,205.0,199.25,204.47,3978180,TSLA,1
2012-03-02,34.26,34.5,33.71,34.04,549971,TSLA,-1
2012-01-23,26.81,27.21,26.6,26.77,594533,TSLA,-1
2013-08-12,149.43,150.5,142.05,147.38,14903387,TSLA,1
2012-01-12,28.27,28.62,27.81,28.25,729300,TSLA,-1
2013-12-27,155.3,155.5,150.8,151.12,5464678,TSLA,1
2017-05-17,314.39,314.63,305.5,306.0,6696073,TSLA,1
2010-07-21,20.66,20.9,19.5,20.22,1253442,TSLA,-1
2011-07-01,29.07,29.6,28.8,29.02,854839,TSLA,1
